"WORD","PART_OF_SPEECH","PRONUNCIATION","DEFINITION","LITERAL_TRANSLATION","RELATED_PHRASE","RELATED_PHRASE_DEFINITION","RELATED_PHRASE_LITERAL_TRANSLATION","RELATED_PHRASE_AUDIO_TITLE","RELATED_PHRASE_AUDIO_FILENAME","RELATED_PHRASE_AUDIO_SOURCE","CATEGORIES","CULTURAL_NOTE","REFERENCE","INCLUDE_IN_GAMES","CHILD_FRIENDLY","AUDIO_TITLE","AUDIO_DESCRIPTION","AUDIO_FILENAME","AUDIO_SHARED_WITH_OTHER_DIALECTS","AUDIO_CHILD_FOCUSED","AUDIO_SOURCE","AUDIO_RECORDER","IMG_TITLE","IMG_FILENAME","IMG_DESCRIPTION","IMG_SOURCE","USERNAME","CONTRIBUTOR"
"ḵ'oomtk","transitive verb","ḵ'oomtk","wish; hope for; desire","","Ḵ'oomtga g̱oodu dm xstaa nts'abm.","I hope our team wins.","","Spoken example sentence with word: ḵ'oomtk","koomtk-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 443.  Dunn, Practical Dictionary entry: 937.","1","","","","koomtk-dl-hb-01.mp3","","","","","","","","","","",
"asda gyemga ła gyi'wil daawłit","common noun","","last month","","","","","","","","","","","1","","","","","","","","","","","","","","",
"uks haytk","intransitive verb","uks/*haytk","stand out; stand near the water","","Uks haytga wa̱n a ts'iwaanxł.","The deer is standing out on the point.","","Spoken example sentence with word: uks haytk","636863806357127823A LexExampleSentence.mp3","","","","Dunn, Practical Dictionary entry: 1992.","1","","","","636863806357127823A LexExampleSentence.mp3","","","","","","","","","","",
"xp'iyaan","common noun","x/p'i/*yaan","cigarette; cigar; smokes","","'Nii ła gyoo awaan kwił p'inpa'antit na xp'iyaans na biipt.","Look what he is doing, breaking up his uncle's cigarettes.","","Spoken example sentence with word: xp'iyaan","xp'iyaan-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 2161. Dunn, Practical Dictionary entry: 1600.","1","","","","xp'iyaan-dl-hb-03.mp3","","","","","Image depicting: xp'iyaan","Fire & Ice 242.jpg","","Image from Print Artist Platinum, Version 23, Supplementary Images CD.","","",
"xp'iyaan","intransitive verb","x/p'i/*yaan","smoke (meaning a person with a cigarette or cigar)","","G̱a̱l ts'üü xp'iyaan.","You smoke too much.","","Spoken example sentence with word: xp'iyaan","xp'iyaan-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 2161. Dunn, Practical Dictionary entry: 1600.","1","","","","xp'iyaan-dl-hb-03.mp3","","","","","Image depicting: xp'iyaan","BOSS WITH CIGARETTE.jpg","","Image from Print Artist software, version 23, Bonus Graphics CD.","","",
"moos","common noun","moos","thumb","","Uuks g̱oosa moosu.","My thumb is out of joint.","","","","","","","Dunn, Practical Dictionary entry: 1446.","1","","","","","","","","","Image depicting: moos","moos.bmp","","Net mending̱ - Photograph by Tammy Blumhagen.","","",
"sayaamx","transitive verb","sa/*yaa/mx","imitate","","Yagwat sayaamxdu łukda'ay'nu.","My grandchild is imitating me.","","Spoken example sentence with word: sayaamx","sayaamx-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 1655.","1","","","","sayaamx-dl-hb-03.mp3","","","","","Image depicting: sayaamx","Unit 7- action- Pretend .jpg","","Image courtesy of Aboriginal Education, School District 52","","",
"sayaamx","transitive verb","sa/*yaa/mx","talk back; be cheeky to someone","","Sayaamg̱a'nu łukda'aynu łan daalxt.","My grandchild was cheeky to me when I talked to her.","","Spoken example sentence with word: sayaamx","sayaamx-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 1655.","1","","","","sayaamx-dl-hb-03.mp3","","","","","","","","","","",
"xts'a̱nk","transitive verb","x/*ts'ank","scorch","","Dm xts'angm güünksmhoo'nm","We'll scorch the dried fish.","","Spoken example sentence with word: xts'a̱nk","xts'ank-dl-hb-03.mp3","","","","","1","","","","xts'ank-dl-hb-03.mp3","","","","","","","","","","",
"hayooyks'ontgm ts'al","common noun","ha/*yooyks/*ont/gm/*ts'al","face soap","","Sgüü nm gyiiga hayooks'ontgm ts'al.","I need to buy face soap.","","","","","","","","1","","","","","","","","","Image depicting: hayooyks'ontgm ts'al","SOAP 4.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"'nasdoo=","prenominal","'na/*stoo","half; one side; other side of __","","Ḵ'am ksa 'nasdoo waap k'yilamt das 'niit.","He gave him only half the house.","","","","","","","Dunn, Practical Dictionary entry: 1514.","1","","","","","","","","","Image depicting: 'nasdoo=","'nastoo.bmp","","Photograph by Tammy Blumhagen.","","",
"geesk","common noun","geesk","anal fin","","","","","","","","","","Dunn, Practical Dictionary entry: 461.","1","","","","","","","","","Image depicting: geesk","anal-fin-Fish 350.jpg","","Image from Print Artist Platinum solftware, version 23, Supplementary Graphics CD.","","",
"'wa̱h g̱awdi","intransitive verb","","unfinished","","dat wila txalt'aadit, na sitxaldzap'at 'nast'oo 'wah g̱awdiym gwishalaayt,",""," he placed the image beside the unfinished shaman blanket","","","Beynon m 44.1","","","","1","","","","","","","","","","","","","","",
"k'yina xhoon","intransitive verb","","go to eat fish at somebody's house","","","","","","","","","","","1","","","","","","","","","","","","","","",
"biloos","common noun","bi/*loos","syrup","","Tsima'antu g̱a̱nxanaayu da biloos.","I like to have syrup with my bread.","","Spoken example sentence with word: biloos","biloos-pr-hb-01.mp3","","","","","1","","","","biloos-pr-hb-01.mp3","","","","","Image depicting: biloos","PANCAKES & SYRUP.jpg","","Image from Print Artist Platinum edition, version 23, Bonus Graphics CD.","","",
"biloos","intransitive verb","bi/*loos","syrupy","","Wudi g̱a̱l biloosa sidzaamu.","My jam is too syrupy.","","","","","","","","1","","","","","","","","","","","","","","",
"k'wilii'on","number","k'wili/*'on","three (measures); three fathoms","","K'wilii'on sg̱a̱'naga hagwilhuu.","The rope is three fathoms long","","","","","","","Dunn, Practical Dictionary entry: 994.","1","","","","","","","","","","","","","","",
"xłipts'iwaan","common noun","x/łip/ts'u/*waan","the very tip (usage: For example, of a point of land or a pencil)","","Luk'wil ḵ'oolg̱a nxłipts'iwaan g̱ant'amiisu.","The tip of my pencil is very dull.","","Spoken example sentence with word: xłipts'iwaan","xlipts'uwaan-dl-hb-03.mp3","","","","","1","","","","xlipts'uwaan-dl-hb-03.mp3","","","","","","","","","","",
"huum","transitive verb","huum","sniff something; smell (something)","","Eh, huum txadzemsgas noos Blank.","Mmm, smell Frank's mother's boiled fish.","","Spoken example sentence with word: huum","huum-vn-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 822.  Dunn, Practical Dictionary entry: 824.","1","","","","huum-vn-hb-02.mp3","","","","","","","","","","",
"xa̱nooya̱x","intransitive verb","xa̱/*noo/yx","snore","","Ts'üü na xa̱nooya̱xs Dzon.","John snores a lot.","","Spoken example sentence with word: xa̱nooya̱x","xanooyx-dl-hb-03.mp3","","","","","1","","","","xanooyx-dl-hb-03.mp3","","","","","Image depicting: xa̱nooya̱x","SNORING.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"moon","common noun","moon","salt ","","G̱al 'wiileeksa moon da ts'm txadzemsk.","There's too much salt in this boiled fish.","","","","","","","Dunn, Practical Dictionary entry: 1445.","1","","","","","","","","","Image depicting: moon","SALT.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"ayawül","intransitive verb","","proficient; competent","","","","","","","","","","Dunn, Practical Dictionary entry: 120.","1","","","","","","","","","Image depicting: ayawül","Kids 064.jpg","","Image from Print Artist Platinum solftware, version 23, Supplementary Graphics CD.","","",
"da̱g̱a̱'aaw","common noun","da̱/g̱a̱/*'aaw","sea anemone","","Heelda dag̱a̱'aaw da hał gyeeka.","There are lots of sea anemones down the beach.","","Spoken example sentence with word: da̱g̱a̱'aaw","daga'aw-dr-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 186.","1","","","","daga'aw-dr-hb-01.mp3","","","","","Image depicting: da̱g̱a̱'aaw","Sea Anemone 3.jpg","","Image from Print Artist Platinum solftware, version 23, Supplementary Graphics CD.","","",
"g̱a̱ts'muu","common noun","g̱a̱/ts'm/*muu","ears (pl.)","","Ma̱n ma̱xsga g̱a̱ts'muu łgu haas.","The little dog's ears are standing up.","","Spoken example sentence with word: g̱a̱ts'muu","gats'muu-dl-hb-01.mp3","","","","","1","","","","gats'muu-dl-hb-01.mp3","","","","","","","","","","",
"gwünsiyełk","transitive verb","","tell someone to polish something","","Gwünsiyełga nag̱a̱ts'ooxs dip awaan.","Tell those people to polish their shoes.","","","","","","","","1","","","","","","","","","","","","","","",
"k'yep","number","k'yep","ten (abstract and round objects); usage: Newer form.","","K'yeba sihoons Babo'ox.","George caught ten fish.","","Spoken example sentence with word: k'yep","k'yep-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1043.","1","","","","k'yep-dl-hb-01.mp3","","","","","Image depicting: k'yep","10-salmonberries-ab-ed-calendar-IMG_419.bmp","","Image courtesy of Aboriginal Education, School District 52.","","",
"ma̱n liklooyk","intransitive verb","ma̱n/lik/*looyk","get upset; excited (pl.)","","'Ap luk'wil ma̱n liklooyga gyet ła g̱oosa xsoo.","Everyone got excited when the boat exploded.","","Spoken example sentence with word: ma̱n liklooyk","manliplooyk-vn-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1395.","1","","Person saying: ma̱n liklooyk","","manliplooyk-vn-hb-01.mp3","","","","","","","","","","",
"'liisgüü","intransitive verb","'lii/*sgüü","lie on; be on","","","","","","","","","","Dunn, Practical Dictionary entry: 1160.  Dunn, Practical Dictionary entry: 1171.  Dunn, Practical Dictionary entry: 1686.","1","","","","","","","","","","","","","","",
"'liisgüü","transitive verb","'lii/*sgüü","put on","","'Lii sgüü dzem hoon.","Put on the boiled fish.","","Spoken example sentence with word: 'liisgüü","'lisguu-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1160.  Dunn, Practical Dictionary entry: 1171.  Dunn, Practical Dictionary entry: 1686.","1","","","","'lisguu-dl-hb-01.mp3","","","","","","","","","","",
"awaan","demonstrative","a/*waan","there by you","","Dm habm awaan dziła hup'l.","We'll go to your place tonight.","","Spoken example sentence with word: awaan","awaan-mb-k-01.mp3","","","","","1","","","","awaan-mb-k-01.mp3","","","","","","","","","","",
"huk sipłoont","common noun","","sea otter hunter","","","","","","","","","","","1","","","","","","","","","","","","","","",
"'ya̱yt=","preverbal","","suddenly","","Dziiws a gwa̱'a̱ ła 'yaayt k'a̱ba ksi gyiłgyełga 'niksuniiskw da 'na doo.","In the morning she suddenly poked at the window on the other side.","","","","HB 07 Co 36.1","","","","1","","","","","","","","","","","","","","",
"txadoosda","common noun","","across from","","wil t'aadit da txa doosda Gitxaała.","the one that is across Kitkatla.","","","","K 08 Dor 8.1","","","","1","","","","","","","","","","","","","","",
"dibaa","intransitive verb","di/*baa","struggle","","","","","","","","","","Dunn, Practical Dictionary entry: 212.","1","","","","","","","","","","","","","","",
"dibaa","transitive verb","di/*baa","attempt; try","","awilt nah dibaadit Gusg̱ayn k'üülda siilgidm dzepgit gu di 'waatgit nag̱ooxt a mag̱oon Stagiin gu 'nii Xaymooks.","","for Gusg̱ain has revived one of the foremost customs which was brought by his forefathers from headwaters of the Stikine, this is the Snow Feast.","Spoken example sentence with word: dibaa","636855940209175967A LexExampleSentence.mp3","Beynon m 127.1","","","Dunn, Practical Dictionary entry: 212.","1","","","","636855940209175967A LexExampleSentence.mp3","","","","","","","","","","",
"si'naa","transitive verb","si/*'naa","bait something; put bait on something","","Dm si'naatu haplee.","I'm going to bait the halibut line.","","","","","","","Dunn, Practical Dictionary entry: 1714.","1","","","","","","","","","","","","","","",
"goo dzit wila naaw","intransitive verb","","what can be done, nothing can be done","","'Nii dat wilaayda sm'ooygit goo dzit wila naawt, ","Therefore the chief knew nothing could be done, ","","","","Beynon m 158.1","","","","1","","","","","","","","","","","","","","",
"simalsk","intransitive verb","si/*maalsk","make up a story; tell a fib","","Si malsga łgu łguwoomłk das noot.","The little child told her mother a fib.","","","","","","","Dunn, Practical Dictionary entry 1781.","1","","","","","","","","","","","","","","",
"saałk","intransitive verb","saałk","tender","","Luk'wil saałga sami gwa̱'a̱. ","This meat is very tender.","","Spoken example sentence with word: saałk","saalk-ge-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1621.","1","","","","saalk-ge-hb-01.mp3","","","","","","","","","","",
"saałk","intransitive verb","saałk","fragile, perishable","","Luk'wil saałga kslüüsgas Ellen.","Ellen's shirt is ready to fall apart.","","Spoken example sentence with word: saałk","saałk-3-em-2018.mp3","","","","Dunn, Practical Dictionary entry: 1621.","1","","","","saałk-3-em-2018.mp3","","","","","","","","","","",
"lukłi=","prenominal","","under","","Lukłi'nakat da łüü sink,","She [no'o] reached under the sink,","","","","HB 007 C 68.1","","","","1","","","","","","","","","","","","","","",
"aytk","transitive verb","aytk","call by name; pronounce; take on a name; usage: This refers to the act of bestowing a name on someone at a feast","","Wayi ła dmt aytgida sup'a̱sm 'yuuta waa.","Well, the young man is about to get his name.","","Spoken example sentence with word: aytk","aytk-mb-k-01.mp3","","","","Dunn, Practical Dictionary entry: 122.  Dunn, Practical Dictionary entry: 2009.","1","","","","aytk-mb-k-01.mp3","","","","","","","","","","",
"xaaks","common noun","xaaks","slave","","Heelda xaaksit.","He has a lot of slaves.","","Spoken example sentence with word: xaaks","xaks-dl-hb-03.mp3","","","","","1","","","","xaks-dl-hb-03.mp3","","","","","","","","","","",
"tgit'uus","transitive verb","tgi/*t'uus","push down; press down","","Gyiloom dza tgit'uusi.","Don't push me down.","","Spoken example sentence with word: tgit'uus","636862849679425058A LexExampleSentence.mp3","","","","Dunn, Practical Dictionary entry: 1860.","1","","","","636862849679425058A LexExampleSentence.mp3","","","","","Image depicting: tgit'uus","DOUGH KNEADING 3.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"'wa̱łk","intransitive verb","","not allowed; prohibited","","","","","","","","","","","1","","","","","","","","","","","","","","",
"ha'liwaaxs","common noun","","floor","","da al lutgi ḵ'ag̱a ha'liiwaaxs da lax laxa łgu waap.","and there was an opening on the floor upstairs in the little house.","","","","Fumiko S 5.1","","","Dunn, Practical Dictionary entry: 731.","1","","","","","","","","","","","","","","",
"łm t'uusa","intransitive verb","","stuffed (when eating)","","Ts'imaatga yaawgu, da sa łm t'uusayu.","I was enjoying my meal and suddenly I felt stuffed.","","","","","","","","1","","","","","","","","","","","","","","",
"sn'yuuta̱","intransitive verb","sn/*'yuu/ta̱","flirt with men","","Yagwa sn'yuuta̱ hanaa'na̱g̱a.","Those girls are flirting with a man.","","","","","","","","1","","","","","","","","","Image depicting: sn'yuuta̱","HEY CUTIE!.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"t'ool","common noun","t'ool","snout","","'Wii'naga na t'ool badzit'ool.","The sea elephant has a big snout.","","","","","","","Dunn, Practical Dictionary entry: 1872.","1","","","","","","","","","Image depicting: t'ool","Aquatic 043.jpg","","Image from Print Artist Platinum, Version 23, Supplementary Images CD.","","",
"gwil=","preverbal","gwil","right away; instantly; at once; suddenly","","Dawila gwil dzakt.","Then he died suddenly.","","Spoken example sentence with word: gwil=","gwil-ab-hb-01.mp3","","","","","1","","","","gwil-ab-hb-01.mp3","","","","","","","","","","",
"lugyiitk","","","coincide","","","","","","","","","","","1","","","","","","","","","","","","","","",
"g̱a̱lts'g̱a̱ntk","number","g̱a̱l/*ts'g̱a̱ntk","three (canoes or vehicles)","","G̱a̱lts'g̱a̱ntga ts'ikts'ik dm ḵ'a̱daawłit.","There will be three vehicles going.","","Spoken example sentence with word: g̱a̱lts'g̱a̱ntk","galts'gantk-mb-kk-01.mp3","","","","","1","","","","galts'gantk-mb-kk-01.mp3","","","","","Image depicting: g̱a̱lts'g̱a̱ntk","3CAONES&PADDLESGREY-ab-ed.bmp","","Image courtesy of Aboriginal Education, School District 52.","","",
"yaaws","transitive verb","yaaws","send or bring a present. You can also ask someone for a present: Yaawsdii yaa abuum g̱a̱boox. 'bring me a few cockles'","","","","","","","","","","Dunn, Practical Dictionary entry: 2199.","1","","","","","","","","","","","","","","",
